Open,High,Low,Close,Adj Close,Volume
1039.94,1044.14,1030.07,1036.17,1036.17,2254600
1030.41,1037.24,1016.9,1025.07,1025.07,1888100
1027.8,1031.34,1009.22,1011.87,1011.87,1938900
1010.99,1036.68,1002.32,1019.6,1019.6,1949900
1016.52,1039.58,1015.31,1032.72,1032.72,1435500
1036.07,1048.92,1035.36,1044.57,1044.57,1543300
1051.81,1056.42,1045.86,1049.38,1049.38,1558500
1051.11,1056.0,1044.12,1051.97,1051.97,1162700
1050.0,1062.5,1044.87,1048.77,1048.77,1694100
1052.08,1055.48,1046.58,1051.39,1051.39,1384000
1055.49,1067.08,1053.6,1057.47,1057.47,1548100
1063.78,1075.25,1060.09,1072.0,1072.0,3188000
1076.45,1086.49,1070.37,1085.09,1085.09,1514600
1083.02,1084.97,1072.27,1079.78,1079.78,1317500
1080.92,1081.23,1068.6,1073.56,1073.56,1436400
1075.39,1077.52,1069.0,1070.85,1070.85,1282000
1070.0,1071.72,1067.64,1068.86,1068.86,889400
1068.64,1068.86,1058.64,1065.85,1065.85,918800
1066.6,1068.27,1058.38,1060.2,1060.2,1116200
1062.25,1064.84,1053.38,1055.95,1055.95,994200
1055.49,1058.05,1052.7,1053.4,1053.4,1180300
1053.02,1075.98,1053.02,1073.21,1073.21,1588300
1073.93,1096.1,1073.43,1091.52,1091.52,1565900
1097.09,1104.08,1094.26,1095.76,1095.76,1302600
1103.45,1113.58,1101.8,1110.29,1110.29,1512500
1111.0,1119.16,1110.0,1114.21,1114.21,1232200
1118.44,1118.44,1108.2,1112.79,1112.79,1340400
1107.0,1112.78,1103.98,1110.14,1110.14,1036700
1112.31,1114.85,1106.48,1112.05,1112.05,1121200
1110.1,1131.3,1108.01,1130.65,1130.65,1929300
1140.31,1148.88,1126.66,1130.7,1130.7,1823100
1136.36,1139.32,1123.49,1139.1,1139.1,1391500
1139.35,1140.59,1124.46,1135.97,1135.97,1374900
1138.03,1143.78,1132.5,1143.5,1143.5,1527600
1143.82,1166.88,1141.82,1164.16,1164.16,1477500
1170.62,1178.51,1167.25,1176.17,1176.17,1956900
1184.98,1187.05,1167.4,1171.29,1171.29,1856400
1180.71,1185.0,1171.84,1182.14,1182.14,1499200
1187.53,1187.56,1168.03,1187.56,1187.56,2108500
1188.0,1198.0,1184.06,1186.48,1186.48,1574700
1177.72,1187.93,1174.51,1177.37,1177.37,1866900
1183.81,1186.32,1172.1,1182.22,1182.22,1801100
1175.99,1187.45,1169.36,1181.59,1181.59,3675700
1127.42,1131.3,1111.17,1119.2,1119.2,5892100
1100.61,1114.99,1056.74,1062.39,1062.39,4177500
1033.98,1087.38,1030.01,1084.43,1084.43,3831500
1084.97,1086.53,1054.62,1055.41,1055.41,2597100
1059.87,1063.93,1004.7,1007.71,1007.71,3339600
1025.88,1051.72,997.0,1046.27,1046.27,4918000
1056.67,1065.57,1045.49,1054.56,1054.56,2812000
1050.0,1061.22,1046.92,1054.14,1054.14,1579300
1054.32,1075.47,1049.8,1072.7,1072.7,2065200
1083.45,1094.1,1067.23,1091.36,1091.36,1869800
1093.38,1108.31,1091.55,1095.5,1095.5,1997400
1092.76,1116.29,1090.0,1103.59,1103.59,1687700
1109.1,1136.2,1107.51,1113.75,1113.75,2074300
1119.17,1125.46,1105.15,1109.9,1109.9,1400500
1118.66,1129.0,1108.44,1128.09,1128.09,1264600
1131.86,1144.2,1129.34,1143.7,1143.7,1545600
1143.7,1144.25,1116.79,1117.51,1117.51,2148200
1122.0,1127.65,1103.0,1103.92,1103.92,2464600
1109.54,1111.27,1067.29,1071.41,1071.41,2766900
1057.98,1086.89,1050.11,1084.14,1084.14,2508100
1078.13,1101.18,1072.27,1094.76,1094.76,1432400
1102.1,1105.63,1094.5,1100.9,1100.9,1169100
1092.82,1116.2,1089.91,1115.04,1115.04,1537400
1117.2,1131.44,1117.2,1129.38,1129.38,1693100
1139.5,1161.0,1134.29,1160.84,1160.84,2133100
1165.05,1178.16,1159.2,1165.93,1165.93,2215300
